Municipali,Population,Density,Foreigners,Owners,SecondaryE,University,Phd_Master,Income,Insurance,Rent,Expenses,Area,Regimes,PostCode
ATHENS,     5690.000000,        0.009156,       14.410000,       37.110000,       41.630000,       29.110000,        6.730000,    22815.956331,      361.055223,    788.08353300000,    307.18296400000, 621430.88650899997,1,11521
ATHENS,    11579.000000,        0.024187,       15.860000,       42.350000,       47.130000,       16.450000,        1.360000,    13544.720338,      166.021722,    571.96400300000,    136.42526100000, 478737.97204399999,2,11522
ATHENS,    14405.000000,        0.042158,        9.680000,       35.790000,       49.340000,       19.000000,        1.560000,    14594.552920,      178.020623,    713.84375800000,    166.83189900000, 341688.14718899998,2,11523
ATHENS,    16304.000000,        0.032156,       16.690000,       36.430000,       49.870000,       20.980000,        1.930000,    15936.998836,      210.310155,    706.53470500000,    201.07861000000, 507024.95535800001,2,11526
ATHENS,    14462.000000,        0.005784,       15.250000,       36.700000,       47.250000,       19.930000,        1.890000,    15642.309999,      196.281276,    693.13597700000,    160.49366500000,2500463.35442000022,2,11527
ATHENS,     8014.000000,        0.009629,        9.640000,       36.320000,       46.130000,       24.790000,        4.990000,    21283.903757,      314.531504,    741.81226500000,    237.44824000000, 832314.74001499999,1,11528
ATHENS,    15540.000000,        0.046119,       13.240000,       38.160000,       48.560000,       15.610000,        1.000000,    13768.410498,      171.601365,    644.33589800000,    139.25521000000, 336951.34337800002,2,11633
ATHENS,    11956.000000,        0.036302,       16.420000,       37.930000,       49.760000,       18.790000,        1.570000,    16016.379132,      229.567145,    842.20714800000,    188.23786300000, 329345.84795400000,1,11634
ATHENS,    13067.000000,        0.035150,       11.720000,       35.970000,       49.870000,       23.210000,        2.820000,    15134.729202,      200.599374,    682.58722100000,    199.79750300000, 371752.22595400002,2,11635
ATHENS,    17729.000000,        0.024655,       15.930000,       43.740000,       49.210000,       24.250000,        2.820000,    14985.654245,      211.976133,    585.14927800000,    181.99942000000, 719078.44754500000,2,11636
ATHENS,    12378.000000,        0.015739,       22.560000,       38.140000,       47.320000,       17.760000,        1.850000,    13429.885011,      173.013926,    689.81941200000,    142.66369400000, 786433.15344400005,2,11741
ATHENS,     6001.000000,        0.031716,       28.510000,       32.460000,       46.560000,       12.970000,        0.550000,    11233.133132,      122.194338,    602.40296400000,     93.82750600000, 189211.51989900001,2,10438
ATHENS,     7056.000000,        0.041754,       32.670000,       33.810000,       47.170000,       13.690000,        0.960000,    11690.393599,      112.950474,    604.54154300000,     96.25474900000, 168987.83988099999,2,10439
ATHENS,    11485.000000,        0.020798,       15.000000,       42.690000,       46.110000,        9.190000,        0.700000,    11780.078237,      140.389190,    520.25645800000,     99.65415300000, 552218.52699899999,2,10441
ATHENS,     1146.000000,        0.001217,       24.260000,       40.450000,       41.710000,        8.030000,        0.440000,    14937.032090,      215.763018,    498.28425500000,    122.65733000000, 941964.81061000004,2,10447
ATHENS,      121.000000,        0.001275,       29.750000,       29.170000,       61.980000,       14.050000,        0.200000,    19782.876806,      433.795537,    534.18322700000,    162.75787100000,  94910.76119030001,1,10551
ATHENS,     1073.000000,        0.012222,       51.540000,       20.130000,       34.580000,       10.530000,        0.840000,    15647.210311,      279.593537,    562.55102400000,    142.66723100000,  87792.02614070001,1,10552
ATHENS,    16646.000000,        0.026950,       16.530000,       47.380000,       47.440000,       15.000000,        0.970000,    12496.704250,      159.168682,    516.51682500000,    104.30417400000, 617666.61450999998,2,11744
ATHENS,    14517.000000,        0.021777,       10.510000,       47.190000,       48.700000,       12.990000,        0.850000,    12299.672215,      162.085874,    513.10400000000,    118.17355300000, 666608.11037200002,2,11745
ATHENS,    10099.000000,        0.015788,       10.170000,       43.450000,       45.940000,       13.770000,        0.900000,    12613.369214,      155.436223,    565.15503700000,    117.00905400000, 639670.97124200000,2,11851
ATHENS,     8168.000000,        0.024643,       10.540000,       45.910000,       46.680000,       15.480000,        1.470000,    12088.442158,      156.538027,    515.47113000000,    123.90213300000, 331456.41391700000,2,11852
ATHENS,    14001.000000,        0.032303,       11.280000,       45.530000,       48.240000,       13.270000,        0.750000,    11988.722026,      135.531332,    512.86368900000,     91.77198800000, 433433.32584300003,2,11853
ATHENS,     5337.000000,        0.010540,       13.280000,       42.420000,       46.830000,        9.610000,        0.530000,    12175.689684,      147.868700,    529.45797100000,     97.48319100000, 506380.14232699998,2,11854
ATHENS,       81.000000,        0.000240,       11.110000,       22.370000,       50.620000,       19.750000,        0.100000,    17664.316134,      376.730402,    659.47140600000,    147.60014200000, 337450.55358499999,2,10555
ATHENS,      500.000000,        0.005081,       18.600000,       29.490000,       37.600000,       21.600000,        5.200000,    18445.659145,      371.196259,    969.80240500000,    208.35266200000,  98408.75276720000,2,10556
ATHENS,     1563.000000,        0.004893,       27.830000,       23.780000,       40.690000,       21.370000,        5.820000,    19871.264571,      356.765832,    793.33226400000,    283.96630000000, 319452.10999199998,2,10558
ATHENS,     2454.000000,        0.040428,       12.880000,       22.390000,       46.370000,       15.030000,        1.630000,    17885.717543,      292.782976,    593.27762900000,    152.50276500000,  60699.76278450000,2,10431
ATHENS,     1424.000000,        0.013995,       38.480000,       25.900000,       43.400000,       12.990000,        0.980000,    17303.379401,      307.277730,    682.24875900000,    157.10915400000, 101753.54459900000,2,10432
ATHENS,     3747.000000,        0.025184,       28.020000,       33.950000,       49.830000,       20.570000,        2.300000,    16837.432584,      259.171014,    678.64190900000,    217.02921000000, 148787.06756500000,2,10433
ATHENS,     3930.000000,        0.021167,       37.960000,       24.440000,       38.780000,        9.820000,        0.590000,    11588.628013,      138.780790,    599.26890700000,    100.82649300000, 185670.26230999999,2,10437
ATHENS,     1691.000000,        0.014789,       13.990000,       41.820000,       39.500000,       34.830000,        9.930000,    28401.352225,      433.460137,    957.37847700000,    424.31603700000, 114344.38353799999,1,10673
ATHENS,     1651.000000,        0.008708,        9.640000,       42.910000,       42.520000,       31.800000,        9.330000,    37644.131352,      499.517956,   1245.16354100000,    570.61196900000, 189589.73914300001,1,10674
ATHENS,     2397.000000,        0.012221,       11.210000,       36.250000,       40.880000,       33.340000,       10.640000,    28192.545677,      451.921227,   1044.15132300000,    423.62103000000, 196143.65139300001,1,10675
ATHENS,     3362.000000,        0.014532,       32.940000,       36.640000,       34.350000,       28.670000,        8.720000,    25006.130728,      426.577595,    926.56248000000,    360.25115100000, 231359.34857800000,1,10676
ATHENS,       85.000000,        0.001542,       15.530000,       36.360000,       51.760000,       20.000000,        1.180000,    21019.823738,      363.106356,    557.87568700000,    193.47008700000,  55109.85691900000,2,10677
ATHENS,     1500.000000,        0.020763,       23.390000,       30.900000,       41.430000,       24.150000,        4.070000,    21579.564976,      315.827341,    451.53360000000,    211.04670500000,  72245.31907190000,1,10678
ATHENS,     1406.000000,        0.013860,        9.520000,       39.000000,       34.780000,       35.850000,       11.380000,    22395.237676,      356.261387,    459.54550400000,    217.45140600000, 101440.92340400000,1,10679
ATHENS,    13365.000000,        0.025106,        5.570000,       44.250000,       50.570000,       13.310000,        0.780000,    13267.452397,      162.430557,    533.84560300000,    118.17500400000, 532343.28314600000,2,11145
ATHENS,     8352.000000,        0.037161,       21.390000,       37.470000,       49.880000,       21.990000,        2.500000,    17282.203688,      220.073731,    652.72623000000,    233.47587700000, 224750.23265900000,2,11257
ATHENS,    16739.000000,        0.020863,        8.570000,       43.230000,       44.450000,       22.290000,        2.460000,    16321.658702,      220.260863,    623.37430800000,    225.54624600000, 802337.52472200000,2,11524
ATHENS,    11417.000000,        0.014332,       15.470000,       45.740000,       44.990000,       20.100000,        1.540000,    16073.808614,      219.692958,    696.88132300000,    171.45739600000, 796630.53094500001,2,11525
ATHENS,    19642.000000,        0.061002,        5.830000,       44.750000,       47.990000,       21.580000,        1.850000,    13125.801292,      173.447554,    568.55424200000,    112.03884700000, 321990.92661299999,2,11631
ATHENS,    11141.000000,        0.035397,       13.850000,       47.670000,       42.370000,       27.940000,        4.700000,    13760.025455,      182.867329,    555.13270400000,    131.68667400000, 314741.57264500001,2,11632
ATHENS,     4247.000000,        0.002556,       10.480000,       42.750000,       42.550000,        9.800000,        0.660000,    13523.238735,      185.978491,    596.12064500000,     90.24095100000,1661851.57657000003,2,11855
ATHENS,    23472.000000,        0.024030,       15.080000,       43.240000,       48.620000,       17.750000,        1.390000,    13492.933131,      162.295084,    588.07739900000,    148.18001800000, 976794.40168200003,2,11363
ATHENS,     7000.000000,        0.023490,       18.540000,       36.140000,       47.900000,       19.560000,        2.050000,    15337.394899,      206.976577,    768.72423200000,    199.68500700000, 297998.21133299998,2,11742
ATHENS,    17220.000000,        0.028659,       12.040000,       43.480000,       43.600000,       22.030000,        2.930000,    12527.340586,      157.929879,    610.24090000000,    115.39688400000, 600851.89047500002,2,11743
ATHENS,       34.000000,        0.000588,       79.410000,        0.000000,       61.760000,       26.470000,        0.200000,    19499.925347,      278.098990,    443.64248000000,    163.15842300000,  57783.51577290000,1,10559
ATHENS,        3.000000,        0.000051,       81.760000,       50.000000,       33.330000,       33.330000,        0.100000,    20758.113795,      495.444327,    740.07688900000,    397.96880300000,  59060.10564010000,1,10561
ATHENS,      220.000000,        0.002336,       66.800000,       32.260000,       33.180000,       11.370000,        0.910000,    23376.208788,      560.179919,   1078.83794600000,    255.98665800000,  94176.84689859999,1,10563
ATHENS,      550.000000,        0.005724,       12.300000,       46.560000,       43.090000,       32.550000,        8.180000,    29740.853654,      473.563462,    918.44054400000,    342.72236200000,  96079.51481610000,1,10671
